"brand,""model"",""Year"",""trim"",""price"",""body_type"",""doors"",""total_seating"",""wheelbase"",""cargo_capacity"",""curb_weight"",""gross_weight"",""maximum_payload"",""towing_capacity"",""engine_size"",""horsepower"",""torque"",""drive_type"",""engine_type"",""mpg"",""image"",""electric_range"",""EPA time to charge battery (at 240V) (hr)"",""battery_capacity (KWh)"""
"Audi,""A5"",2025,""Premium S line 4dr Hatchback AWD w/45 TFSI (2.0L 4cyl Turbo gas/electric mild hybrid 7AM)"",48400,""Hatchback"",5,5,111.2,21.8,3770,4982,1058,"""",2,261,273,""all wheel drive"",""mild hybrid"",26,""https://media.ed.edmunds-media.com/audi/a5/2025/oem/2025_audi_a5_4dr-hatchback_prestige-s-line_fq_oem_1_815.jpg"","""","""","""""
"Audi,""A5"",2025,""Prestige S line 4dr Hatchback AWD w/45 TFSI (2.0L 4cyl Turbo gas/electric mild hybrid 7AM)"",56950,""Hatchback"",5,5,111.2,21.8,3770,4982,1058,"""",2,261,273,""all wheel drive"",""mild hybrid"",26,""https://media.ed.edmunds-media.com/audi/a5/2025/oem/2025_audi_a5_4dr-hatchback_prestige-s-line_fq_oem_1_815.jpg"","""","""","""""
"Audi,""A5"",2025,""Premium Plus S line 4dr Hatchback AWD w/45 TFSI (2.0L 4cyl Turbo gas/electric mild hybrid 7AM)"",54200,""Hatchback"",5,5,111.2,21.8,3770,4982,1058,"""",2,261,273,""all wheel drive"",""mild hybrid"",26,""https://media.ed.edmunds-media.com/audi/a5/2025/oem/2025_audi_a5_4dr-hatchback_prestige-s-line_fq_oem_1_815.jpg"","""","""","""""
"Audi,""A6"",2025,""Premium 4dr Sedan AWD w/55 TFSI (3.0L 6cyl Turbo gas/electric mild hybrid 7AM)"",62600,""Sedan"",4,5,115.1,13.7,4266,5556,1102,"""",3,335,369,""all wheel drive"",""mild hybrid"",25,""https://media.ed.edmunds-media.com/audi/a6/2025/oem/2025_audi_a6_sedan_prestige_fq_oem_1_815.jpg"","""","""","""""
"Audi,""A6"",2025,""Premium Plus 4dr Sedan AWD w/55 TFSI (3.0L 6cyl Turbo gas/electric mild hybrid 7AM)"",67300,""Sedan"",4,5,115.1,13.7,4266,5556,1102,"""",3,335,369,""all wheel drive"",""mild hybrid"",25,""https://media.ed.edmunds-media.com/audi/a6/2025/oem/2025_audi_a6_sedan_prestige_fq_oem_1_815.jpg"","""","""","""""
"Audi,""A6"",2025,""Prestige 4dr Sedan AWD w/55 TFSI (3.0L 6cyl Turbo gas/electric mild hybrid 7AM)"",73350,""Sedan"",4,5,115.1,13.7,4266,5556,1102,"""",3,335,369,""all wheel drive"",""mild hybrid"",25,""https://media.ed.edmunds-media.com/audi/a6/2025/oem/2025_audi_a6_sedan_prestige_fq_oem_1_815.jpg"","""","""","""""
"Audi,""A6"",2025,""Premium 4dr Sedan AWD w/45 TFSI (2.0L 4cyl Turbo gas/electric mild hybrid 7AM)"",58100,""Sedan"",4,5,115.1,13.7,4101,5335,1102,"""",2,261,273,""all wheel drive"",""mild hybrid"",26,""https://media.ed.edmunds-media.com/audi/a6/2025/oem/2025_audi_a6_sedan_prestige_fq_oem_1_815.jpg"","""","""","""""
"Audi,""A6"",2025,""Premium Plus 4dr Sedan AWD w/45 TFSI (2.0L 4cyl Turbo gas/electric mild hybrid 7AM)"",62800,""Sedan"",4,5,115.1,13.7,4101,5335,1102,"""",2,261,273,""all wheel drive"",""mild hybrid"",26,""https://media.ed.edmunds-media.com/audi/a6/2025/oem/2025_audi_a6_sedan_prestige_fq_oem_1_815.jpg"","""","""","""""
"Audi,""A6 allroad"",2025,""Premium Plus 4dr Wagon AWD w/55 TFSI (3.0L 6cyl Turbo gas/electric mild hybrid 7AM)"",70500,""Wagon"",5,5,115.2,30,4486,5677,1102,"""",3,335,369,""all wheel drive"",""mild hybrid"",25,""https://media.ed.edmunds-media.com/audi/a6-allroad/2021/oem/2021_audi_a6-allroad_wagon_premium-plus_fq_oem_1_815.jpg"","""","""","""""
"Audi,""A6 allroad"",2025,""Prestige 4dr Wagon AWD w/55 TFSI (3.0L 6cyl Turbo gas/electric mild hybrid 7AM)"",76600,""Wagon"",5,5,115.2,30,4486,5677,1102,"""",3,335,369,""all wheel drive"",""mild hybrid"",25,""https://media.ed.edmunds-media.com/audi/a6-allroad/2021/oem/2021_audi_a6-allroad_wagon_premium-plus_fq_oem_1_815.jpg"","""","""","""""
